
trade_time,RB1911,RB1912,RB2001,RB2002,RB2003,RB2004
2019-10-22 22:00:00,3437.0,3371.0,3312.0,3193.0,3183.0,3229.0
2019-10-22 22:05:00,3437.0,3371.0,3310.0,3193.0,3183.0,3229.0
2019-10-22 22:10:00,3437.0,3371.0,3309.0,3193.0,3183.0,3229.0
2019-10-22 22:15:00,3437.0,3371.0,3307.0,3193.0,3183.0,3229.0
2019-10-22 22:20:00,3437.0,3371.0,3310.0,3193.0,3183.0,3229.0
2019-10-22 22:25:00,3437.0,3371.0,3312.0,3192.0,3183.0,3229.0
2019-10-22 22:30:00,3437.0,3371.0,3312.0,3194.0,3183.0,3229.0
2019-10-22 22:35:00,3437.0,3371.0,3312.0,3190.0,3183.0,3229.0
2019-10-22 22:40:00,3437.0,3371.0,3314.0,3194.0,3183.0,3229.0
2019-10-22 22:45:00,3437.0,3371.0,3316.0,3194.0,3183.0,3229.0
2019-10-22 22:50:00,3437.0,3371.0,3309.0,3194.0,3183.0,3229.0
2019-10-22 22:55:00,3437.0,3371.0,3308.0,3190.0,3183.0,3229.0
2019-10-22 23:00:00,3437.0,3407.0,3314.0,3194.0,3183.0,3229.0
2019-10-23 09:05:00,3500.0,3421.0,3340.0,3202.0,3208.0,3231.0
2019-10-23 09:10:00,3500.0,3412.0,3341.0,3211.0,3208.0,3231.0
2019-10-23 09:15:00,3500.0,3425.0,3341.0,3211.0,3208.0,3231.0
2019-10-23 09:20:00,3500.0,3412.0,3339.0,3211.0,3208.0,3231.0
2019-10-23 09:25:00,3500.0,3412.0,3339.0,3211.0,3208.0,3231.0
2019-10-23 09:30:00,3500.0,3410.0,3336.0,3210.0,3208.0,3231.0
2019-10-23 09:35:00,3500.0,3403.0,3327.0,3214.0,3201.0,3231.0
2019-10-23 09:40:00,3506.0,3403.0,3327.0,3214.0,3201.0,3231.0
2019-10-23 09:45:00,3506.0,3403.0,3329.0,3214.0,3201.0,3231.0
2019-10-23 09:50:00,3506.0,3401.0,3330.0,3214.0,3201.0,3231.0
2019-10-23 09:55:00,3506.0,3401.0,3329.0,3208.0,3201.0,3231.0
2019-10-23 10:00:00,3506.0,3399.0,3325.0,3208.0,3201.0,3231.0
2019-10-23 10:05:00,3506.0,3400.0,3326.0,3208.0,3201.0,3231.0
2019-10-23 10:10:00,3487.0,3400.0,3327.0,3208.0,3201.0,3231.0
2019-10-23 10:15:00,3487.0,3409.0,3327.0,3208.0,3201.0,3231.0
2019-10-23 10:35:00,3487.0,3409.0,3333.0,3207.0,3201.0,3231.0
2019-10-23 10:40:00,3487.0,3409.0,3331.0,3208.0,3201.0,3231.0
2019-10-23 10:45:00,3487.0,3409.0,3327.0,3208.0,3201.0,3231.0
2019-10-23 10:50:00,3487.0,3409.0,3329.0,3208.0,3201.0,3231.0
2019-10-23 10:55:00,3487.0,3409.0,3326.0,3208.0,3201.0,3231.0
2019-10-23 11:00:00,3487.0,3409.0,3326.0,3208.0,3201.0,3231.0
2019-10-23 11:05:00,3487.0,3409.0,3333.0,3207.0,3201.0,3231.0
2019-10-23 11:10:00,3496.0,3409.0,3332.0,3207.0,3201.0,3231.0
2019-10-23 11:15:00,3500.0,3409.0,3331.0,3207.0,3201.0,3231.0
2019-10-23 11:20:00,3500.0,3409.0,3329.0,3205.0,3201.0,3231.0
2019-10-23 11:25:00,3500.0,3404.0,3322.0,3200.0,3201.0,3231.0
2019-10-23 11:30:00,3500.0,3407.0,3322.0,3200.0,3201.0,3231.0
2019-10-23 13:35:00,3487.0,3400.0,3311.0,3200.0,3189.0,3231.0
2019-10-23 13:40:00,3487.0,3408.0,3310.0,3200.0,3179.0,3231.0
2019-10-23 13:45:00,3487.0,3410.0,3305.0,3200.0,3179.0,3231.0
2019-10-23 13:50:00,3487.0,3407.0,3301.0,3171.0,3182.0,3213.0
2019-10-23 13:55:00,3487.0,3407.0,3303.0,3171.0,3183.0,3212.0
2019-10-23 14:00:00,3487.0,3405.0,3308.0,3171.0,3180.0,3212.0
2019-10-23 14:05:00,3487.0,3412.0,3311.0,3171.0,3180.0,3212.0
2019-10-23 14:10:00,3487.0,3412.0,3315.0,3171.0,3180.0,3212.0
2019-10-23 14:15:00,3487.0,3412.0,3311.0,3171.0,3185.0,3212.0
2019-10-23 14:20:00,3487.0,3407.0,3309.0,3190.0,3185.0,3212.0
2019-10-23 14:25:00,3487.0,3407.0,3311.0,3183.0,3185.0,3212.0
2019-10-23 14:30:00,3487.0,3407.0,3307.0,3183.0,3185.0,3212.0
2019-10-23 14:35:00,3487.0,3412.0,3309.0,3185.0,3189.0,3212.0
2019-10-23 14:40:00,3487.0,3412.0,3305.0,3184.0,3189.0,3212.0
2019-10-23 14:45:00,3487.0,3412.0,3306.0,3178.0,3182.0,3212.0
2019-10-23 14:50:00,3487.0,3412.0,3309.0,3182.0,3180.0,3216.0
2019-10-23 14:55:00,3487.0,3412.0,3312.0,3187.0,3182.0,3216.0
2019-10-23 15:00:00,3487.0,3412.0,3312.0,3187.0,3182.0,3216.0
2019-10-23 21:00:00,3478.0,3421.0,3325.0,3190.0,3187.0,3214.0
2019-10-23 21:05:00,3478.0,3421.0,3318.0,3190.0,3187.0,3214.0
2019-10-23 21:10:00,3487.0,3406.0,3318.0,3190.0,3187.0,3214.0
2019-10-23 21:15:00,3487.0,3406.0,3325.0,3200.0,3187.0,3214.0
2019-10-23 21:20:00,3487.0,3406.0,3325.0,3200.0,3195.0,3231.0
2019-10-23 21:25:00,3487.0,3406.0,3328.0,3201.0,3195.0,3231.0
2019-10-23 21:30:00,3487.0,3406.0,3326.0,3205.0,3195.0,3231.0
2019-10-23 21:35:00,3487.0,3406.0,3324.0,3200.0,3195.0,3231.0
2019-10-23 21:40:00,3487.0,3406.0,3322.0,3200.0,3195.0,3231.0
2019-10-23 21:45:00,3487.0,3406.0,3327.0,3204.0,3195.0,3231.0
2019-10-23 21:50:00,3487.0,3406.0,3325.0,3204.0,3195.0,3231.0
2019-10-23 21:55:00,3487.0,3406.0,3323.0,3204.0,3195.0,3231.0
2019-10-23 22:00:00,3487.0,3406.0,3328.0,3204.0,3195.0,3231.0
2019-10-23 22:05:00,3487.0,3406.0,3328.0,3204.0,3195.0,3231.0
2019-10-23 22:10:00,3487.0,3406.0,3330.0,3204.0,3195.0,3231.0
